it w0 w1 ww1 w2 ww2 w10 w11 ww11 w12 ww12 w20 w21 ww21 w22 ww22 e
11 -0.036140962720229514 0.013019485238827146 -0.36024179376770255 0.01256439430334667 -0.34764968494638043 0.022272358974019208 -0.5452796313972504 -24.48234747084138 0 0.0 0.02239491523449861 0 0.0 -0.5447289074593256 -24.32377625704022 0.13063349234003266
12 -0.04151813041771617 0.025960581521992883 -0.6252830091529186 0.025505827776376735 -0.6143298727510419 0.029796272640396942 -0.5684658601840933 -19.078421890038133 0 0.0 0.029928420026721195 0 0.0 -0.5679290516103623 -18.976245692331716 0.1304959807660678
13 -0.04745863357813922 0.03936354647720307 -0.8294285677734942 0.03891069718648484 -0.8198865886524007 0.037816945144525826 -0.589036447969696 -15.57599234201924 0 0.0 0.037958771736820565 0 0.0 -0.5885032504204958 -15.503748501157085 0.13036535895547655
14 -0.053879511944342526 0.05314100999300715 -0.9862934550688164 0.05269084969725633 -0.9779385112412657 0.04626245725091192 -0.6073612650476643 -13.12859932522698 0 0.0 0.046413672910655485 0 0.0 -0.6068238630876377 -13.07424784622734 0.13024011530045387
15 -0.060710851558688966 0.06722711198046177 -1.1073327132542945 0.06677988716788431 -1.099966240851167 0.055072849449134605 -0.6237535001555637 -11.325971080026715 0 0.0 0.055232905279741895 0 0.0 -0.6232060122839418 -11.283237938101344 0.1301190838300713
16 -0.0678950781166674 0.08157148856135961 -1.2014344901583496 0.0811270650034519 -1.1948887497271503 0.06419812960244048 -0.6384777780953652 -9.945426479700643 0 0.0 0.0643663061136911 0 0.0 -0.6379157757864725 -9.910709722253022 0.13000134826894602
17 -0.07538559285999495 0.09613504928331203 -1.27524432237142 0.09569301066954448 -1.2693806208735956 0.07359648588088252 -0.651757879691109 -8.85582880609263 0 0.0 0.07377195369196 0 0.0 -0.6511780015110988 -8.826904655801018 0.129886176547351
18 -0.0831452034024551 0.11088699966206111 -1.3336548005700934 0.11044670797576678 -1.3283593455314768 0.08323277960283411 -0.6637835326177317 -7.975025414087332 0 0.0 0.08341463904093974 0 0.0 -0.6631831871168965 -7.950441250383012 0.12977297529623824
19 -0.0911445807625887 0.12580272705439816 -1.3802546021039495 0.12536335855997668 -1.3754340358042818 0.09307731311619222 -0.674716157286667 -7.248986188980243 0 0.0 0.09326461872158681 0 0.0 -0.6740932996769329 -7.227749482247214 0.12966125759651276
20 -0.09936085129714181 0.14086228612548476 -1.417683969959472 0.14042285210178873 -1.4132613626854875 0.10310483797489758 -0.6846936320141587 -6.640751738350605 0 0.0 0.10329661271568123 0 0.0 -0.6840465988089506 -6.622159050769213 0.1295506196544878
21 -0.10777636557751417 0.15604930276653164 -1.4478991004228932 0.1556086608849126 -1.4438106170224938 0.11329376170722717 -0.693834206218233 -6.124204861440066 0 0.0 0.1134890044434574 0 0.0 -0.6931615940279696 -6.107742308844706 0.12944072359560832
22 -0.11637765112467767 0.17135017203413727 -1.4723632104463635 0.17090703213170022 -1.468555435515743 0.12362551406234253 -0.7022397016853593 -5.680378415504345 0 0.0 0.12382320274533196 0 0.0 -0.7015402790604748 -5.665660906085086 0.1293312845307821
23 -0.1251545384318527 0.18675346435043924 -1.4921829179381096 0.18630639094880208 -1.4886107470265402 0.13408403944812405 -0.7099981309984995 -5.2951725941489975 0 0.0 0.13428313174316092 0 0.0 -0.7092707747467908 -5.281905221747364 0.12922206066369862
24 -0.13409944197524615 0.20224948053198133 -1.5082052360017666 0.20179689355014974 -1.5048302258215218 0.14465538855534996 -0.7171858437931791 -4.957892346462849 0 0.0 0.1448548210033629 0 0.0 -0.7164294933047008 -4.945845007727209 0.12911284560385883
25 -0.14320677546914107 0.21782991418358055 -1.521086648798399 0.2173700887187383 -1.5178757290403366 0.15532738781094876 -0.7238692922470193 -4.66028111621919 0 0.0 0.1555260742468542 0 0.0 -0.7230829170113459 -4.649271323235831 0.12900346230919002
26 -0.15247248093156907 0.23348759231203575 -1.5313425143047745 0.23301865799934263 -1.5282669802160782 0.166089369997312 -0.7301064897945326 -4.39586524897017 0 0.0 0.16628619967306302 0 0.0 -0.7292890665506349 -4.3857461893079375 0.12889375825390528
27 -0.16189365276747325 0.24921627350987569 -1.5393826085808522 0.24873621374632404 -1.5364173301073278 0.17693195312239882 -0.735948222323204 -4.159498662257383 0 0.0 0.17712578880350818 0 0.0 -0.7350987192201226 -4.150150715972778 0.1287836015327698
28 -0.17146824025828544 0.2650104889577396 -1.5455368793576578 0.26451714013660743 -1.542659677023342 0.18784685755215774 -0.7414390590628956 -3.947039991643336 0 0.0 0.18803653373964666 0 0.0 -0.7405564249034913 -3.938364583601917 0.1286728776917654
29 -0.1811948141437068 0.2808654156188987 -1.5500742498962607 0.2803564664385346 -1.5472653991972534 0.19882675367500222 -0.7466182007242527 -3.7551194038235827 0 0.0 0.1990110750302453 0 0.0 -0.7457013578755185 -3.7470344691228283 0.12856148712978707
30 -0.19107238517385758 0.29677677390561724 -1.5532164610578278 0.29624976476865905 -1.5504582962059124 0.209865134099792 -0.7515201947813828 -3.5809673579415575 0 0.0 0.21004287410354577 0 0.0 -0.750568034710617 -3.5734039439043577 0.1284493429544963
31 -0.2011002644957658 0.312740744159999 -1.5551483482339419 0.31219306665344626 -1.5524249430314376 0.22095620571360713 -0.7561755417497524 -3.422286960927773 0 0.0 0.2211261055629696 0 0.0 -0.7551869224222039 -3.415186644288595 0.1283363692030307
32 -0.21127795748049816 0.3287538977673137 -1.5560255394728484 0.32818279420167085 -1.5533224483768662 0.2320947979392652 -0.7606112115510765 -3.2771575162581366 0 0.0 0.23225556567087144 0 0.0 -0.7595849561280997 -3.270470414493769 0.12822249935835311
33 -0.22160508409427004 0.3448131397827343 -1.5559802754166596 0.3442157027642974 -1.5532843218428565 0.243276284309512 -0.7648510853094547 -3.143960733699636 0 0.0 0.24342659412952172 0 0.0 -0.7637859817362773 -3.1376439557375733 0.12810767510690083
34 -0.23208132018449856 0.36091566072381387 -1.5551258517354838 0.3602888327346693 -1.5524249536681758 0.25449651507215454 -0.7689163349675588 -3.021323630893557 0 0.0 0.2546350068706069 0 0.0 -0.7678111361507359 -3.0153400570758917 0.1279918452943928
35 -0.24270635511374722 0.37705889574488627 -1.5535600440630124 0.3763994687081649 -1.550843069320376 0.2657517590014068 -0.772825750774916 -2.908073886994761 0 0.0 0.2658770380283828 0 0.0 -0.7716791751317986 -2.9023911987819746 0.1278749650452093
36 -0.25347986205697254 0.3932404898246731 -1.5513677758601894 0.3925451046367352 -1.5486244210930893 0.2770386529481104 -0.7765960248467043 -2.803204594674958 0 0.0 0.2771492896306066 0 0.0 -0.7754067570703449 -2.7977944958972536 0.12775699501738572
37 -0.2644014780060033 0.40945826790614503 -1.5486232187281805 0.4087234139218572 -1.5458439075464512 0.2883541579399629 -0.7802419975154641 -2.7058461826581857 0 0.0 0.28844868782064753 0 0.0 -0.7790086894438164 -2.70068376919846 0.1276379007704665
38 -0.2754707911233236 0.42571020915752844 -1.5453914639064044 0.42493222361917155 -1.5425672605301248 0.29969552086106455 -0.7837768720178505 -2.6152438640589515 0 0.0 0.29977244464266123 0 0.0 -0.7824981435299441 -2.61030710965682 0.12751765222758402
39 -0.2866873335759635 0.441994424696263 -1.541729867110253 0.44116949210063094 -1.5388524027125683 0.3110602409120486 -0.7872124021104929 -2.530739382835735 0 0.0 0.311118024593683 0 0.0 -0.7858868419973983 -2.526008716543372 0.12739622321643237
40 -0.29805057837783194 0.4583091382488163 -1.5376891423704209 0.45743328965060653 -1.5347505518701887 0.32244604018845235 -0.7905590564438414 -2.4517561325355466 0 0.0 0.32248311528272916 0 0.0 -0.7891852232208848 -2.4472140891128085 0.12727359107646743
41 -0.30955993909078006 0.4746526693194654 -1.533314261249648 0.473721781572088 -1.5303071287695487 0.3338508378238975 -0.7938261629022118 -2.377786942445674 0 0.0 0.3338656016456697 0 0.0 -0.7924025855426511 -2.37341787125355 0.12714973632182774
42 -0.3212147714942466 0.49102341851840764 -1.528645199703098 0.490033213455863 -1.5255625112640256 0.34527272723223634 -0.7970220356122205 -2.308383989668926 0 0.0 0.34526354325194386 0 0.0 -0.7955472141926525 -2.3041738108217524 0.1270246423512381
43 -0.33301437654162674 0.5074198547596871 -1.5237175644765586 0.5063658983252074 -1.5205526667762697 0.35670995605378736 -0.8001540869070332 -2.2431504176642045 0 0.0 0.35667515430988433 0 0.0 -0.7986264931620726 -2.2390864166227145 0.12689829519760645
44 -0.3449580040877891 0.52384050408667 -1.5185631232761794 0.5227182054154502 -1.515309687617576 0.36816090846872684 -0.8032289261920951 -2.1817333337559512 0 0.0 0.3680987860350896 0 0.0 -0.8016470039810167 -2.177803987391033 0.12677068331121918
45 -0.35704485700415395 0.5402839399203451 -1.513210257259242 0.5390885503849386 -1.5098622478650259 0.37962408958838373 -0.8062524473748587 -2.123817928016783 0 0.0 0.3795329110937278 0 0.0 -0.8046146130664418 -2.1200127565952713 0.1266417973714244
46 -0.369274095401836 0.55674877455587 -1.5076843501573762 0.5554753867837665 -1.5042359962436855 0.3910981116747431 -0.8092299062851656 -2.0691225094897976 0 0.0 0.39097610987199755 0 0.0 -0.807534549069315 -2.065431950135509 0.12651163012251262
47 -0.38164484076481753 0.5732336517573009 -1.5020081251682553 0.5718771986308646 -1.4984538962581566 0.40258168197153343 -0.8121659893154217 -2.0173942970729852 0 0.0 0.402427058355859 0 0.0 -0.8104114714515663 -2.013809595116574 0.1263801762301797
48 -0.39415617985832313 0.5897372403205868 -1.4962019383599772 0.5882924939699801 -1.4925365224044895 0.41407359195814303 -0.815064874343423 -1.968405834549851 0 0.0 0.4138845174328565 0 0.0 -0.8132495313564345 -1.964918949857471 0.1262474321555233
49 -0.40680716832607333 0.6062582284916821 -1.490284035520584 0.6047197992916538 -1.4865023194648945 0.42557270786126866 -0.8179302848599876 -1.9219519244326697 0 0.0 0.42534732345138043 0 0.0 -0.8160524256946005 -1.918555450338645 0.12611339604399496
50 -0.4195968339268521 0.6227953191407395 -1.4842707780042754 0.6211576547222641 -1.4803678304935683 0.43707796227942414 -0.8207655381039134 -1.877846995129893 0 0.0 0.43681437989282657 0 0.0 -0.8188234452485077 -1.874534088024776 0.12597806762712127
51 -0.4325241793882232 0.6393472256053432 -1.478176842066165 0.6376046098930828 -1.4741478980318101 0.44858834679283993 -0.8235735879045799 -1.8359228316845015 0 0.0 0.44828465002942214 0 0.0 -0.8215655174948054 -1.8326871496511956 0.12584144813513934
52 -0.44558818487523427 0.6559126681260463 -1.4720153953581678 0.6540592204124973 -1.4678558422630426 0.4601029054463465 -0.8263570628448286 -1.7960266128795217 0 0.0 0.4597571504554714 0 0.0 -0.8242812447569892 -1.7928622620450638 0.1257035402189656
53 -0.4587878100861429 0.6724903708063991 -1.4657982536199707 0.670520044873399 -1.4615036191731006 0.4716207290059393 -0.8291183002812166 -1.7580192075712922 0 0.0 0.47123094539281446 0 0.0 -0.8269729382246709 -1.7549206950645244 0.12556434788014914
54 -0.47212199599687976 0.6890790590374343 -1.459536020096781 0.6869856423354637 -1.455101961273594 0.48314094990117296 -0.8318593766934276 -1.7217736912252737 0 0.0 0.48270514168269246 0 0.0 -0.8296426483105254 -1.7187358838118472 0.12542387640765681
55 -0.4855896662821624 0.7056774573334159 -1.453238209816777 0.7034545702288388 -1.4486605030430804 0.4946627377755821 -0.8345821347779555 -1.6871740502042576 0 0.0 0.4941788843862172 0 0.0 -0.8322921917592745 -1.6841921378186822 0.1252821323205005
56 -0.49918972844472964 0.7222842875316708 -1.4469133605413163 0.7199253826317447 -1.4421878929174619 0.5061852955761662 -0.8372882076518691 -1.6541140467125275 0 0.0 0.5056513529244504 0 0.0 -0.8349231758737508 -1.6511835102288295 0.1251391233153577
57 -0.5129210746857455 0.7388982673146618 -1.4405691319417262 0.7363966288797998 -1.4356918933989453 0.5177078561207767 -0.8399790404894303 -1.6224962216788739 0 0.0 0.5171217576968709 0 0.0 -0.8375370201800794 -1.6196128043620845 0.12499485821845202
58 -0.5267825825495455 0.7555181090171932 -1.434212394344178 0.7528668524696066 -1.4291794706382444 0.5292296790891468 -0.8426559098767055 -1.5922310164596103 0 0.0 0.5285893371238836 0 0.0 -0.840134975816404 -1.5893906986237685 0.1248493469410632
59 -0.5407731153749898 0.7721425186858424 -1.4278493082083294 0.7693345902233182 -1.4226568746669965 0.540750048389405 -0.8453199411363124 -1.5632359972117478 0 0.0 0.5400533550651142 0 0.0 -0.8427181428966356 -1.5604349736796452 0.12470260043811959
60 -0.554891522584074 0.7887701953614599 -1.4214853953584232 0.785798371684653 -1.4161297113087419 0.5522682698573382 -0.8479721238454755 -1.5354351682462644 0 0.0 0.5515130985706336 0 0.0 -0.8452874860717724 -1.5326698282643136 0.1245546306693998
61 -0.5691366398363584 0.8053998305589112 -1.4151256028613526 0.802256718720149 -1.4096030066713305 0.5637836692504612 -0.850613325745072 -1.50875836271729 0 0.0 0.562967875927044 0 0.0 -0.8478438484859052 -1.5060252720277396 0.1244054505629326
62 -0.5835072890754394 0.8220301079211979 -1.4087743603403742 0.818708145302408 -1.4030812650166575 0.5752955905032251 -0.853244305214904 -1.4831407007110038 0 0.0 0.5744170149646218 0 0.0 -0.8503879643016188 -1.4804365855248802 0.12425507398023794
63 -0.598002278491201 0.8386597030277388 -1.4024356314222286 0.8351511574547277 -1.3965685207117753 0.5868033942134739 -0.8558657224706335 -1.4585221062291216 0 0.0 0.5858598615954781 0 0.0 -0.8529204699497516 -1.4558438388780972 0.12410351568309864
64 -0.6126204024190944 0.8552872833389294 -1.3961129599366922 0.8515842533388523 -1.3900683848858864 0.5983064563336192 -0.8584781496203323 -1.4348468757650172 0 0.0 0.5972957785560618 0 0.0 -0.8554419142410397 -1.4321914618399543 0.12395079130159259
65 -0.6273604411952498 0.871911508261185 -1.3898095114190105 0.8680059234696568 -1.3835840873484597 0.6098041670429908 -0.8610820797031588 -1.4120632921854945 0 0.0 0.6087241443303029 0 0.0 -0.8579527674617685 -1.4094278589945834 0.12379691730314975
66 -0.6422211609838878 0.8885310293185082 -1.3835281104055677 0.8844146510424205 -1.3771185142630467 0.6212959297804596 -0.8636779348190038 -1.3901232784901585 0 0.0 0.6201443522323382 0 0.0 -0.8604534295619328 -1.3875050646910712 0.12364191096243023
67 -0.6572013135913084 0.9051444904182573 -1.3772712739602595 0.9008089123599746 -1.3706742420179605 0.6327811604187829 -0.8662660734458628 -1.36898208674948 0 0.0 0.6315558096301074 0 0.0 -0.8629442375323495 -1.3663784330283697 0.12348579033184469
